Mode,Vehicles,Seed,Waiting Time,Time Loss,Duration,Speed
BASELINE,2,0,0.25,20.46,86.15,11.41
V2X,2,0,0.0,16.81,82.45,11.9
BASELINE,2,10,1.25,20.36,89.6,10.95
V2X,2,10,0.0,15.77,85.05,11.56
BASELINE,2,20,0.0,16.4,82.95,11.84
V2X,2,20,0.0,17.95,84.5,11.6
BASELINE,2,30,0.55,18.43,90.7,10.83
V2X,2,30,0.0,14.67,86.9,11.3
BASELINE,2,40,0.0,13.79,86.2,11.44
V2X,2,40,0.0,0.0,0.0,0.0
BASELINE,12,0,2.87,26.82,96.95,10.22
V2X,12,0,1.52,23.02,93.14,10.61
BASELINE,12,1,8.55,30.04,103.94,9.64
V2X,12,1,5.83,26.25,100.13,9.97
BASELINE,12,2,3.0,23.02,100.3,9.91
V2X,12,2,3.01,22.91,100.2,9.92
